Date,Time,Low_Range_micro_siemens_per_centimeter,High_Range_micro_siemens_per_centimeter,Temp_Celcius
6/10/22,10:00:00,"2,594.60","2,611.40",27.12
6/10/22,10:10:00,"2,575.60","2,593.50",26.69
6/10/22,10:20:00,"2,568.50","2,586.10",26.59
6/10/22,10:30:00,"2,574.40","2,588.60",26.61
6/10/22,10:40:00,"2,578.60","2,592.30",26.69
6/10/22,10:50:00,"2,577.40","2,594.10",26.71
6/10/22,11:00:00,"2,582.10","2,597.80",26.77
6/10/22,11:10:00,"2,580.30","2,596.00",26.73
6/10/22,11:20:00,"2,585.10","2,601.50",26.81
6/10/22,11:30:00,"2,584.50","2,599.70",26.76
6/10/22,11:40:00,"2,586.90","2,601.50",26.75
6/10/22,11:50:00,"2,588.60","2,604.00",26.8
6/10/22,12:00:00,"2,594.00","2,608.30",26.82
6/10/22,12:10:00,"2,593.40","2,609.50",26.82
6/10/22,12:20:00,"2,598.10","2,612.60",26.85
6/10/22,12:30:00,"2,595.20","2,612.60",26.86
6/10/22,12:40:00,"2,602.30","2,620.70",26.91
6/10/22,12:50:00,"2,610.00","2,625.60",26.96
6/10/22,13:00:00,"2,609.40","2,626.80",26.93
6/10/22,13:10:00,"2,614.80","2,631.80",26.83
6/10/22,13:20:00,"2,621.90","2,638.00",27.04
6/10/22,13:30:00,"2,624.30","2,641.70",27.08
6/10/22,13:40:00,"2,618.90","2,636.70",26.99
6/10/22,13:50:00,"2,626.70","2,644.10",27.12
6/10/22,14:00:00,"2,633.80","2,650.30",27.33
6/10/22,14:10:00,"2,623.10","2,639.20",27.23
6/10/22,14:20:00,"2,612.40","2,628.70",27.09
6/10/22,14:30:00,"2,593.40","2,608.30",26.91
6/10/22,14:40:00,"2,592.80","2,608.90",26.92
6/10/22,14:50:00,"2,588.10","2,600.90",26.88
6/10/22,15:00:00,"2,592.80","2,610.20",26.92
6/10/22,15:10:00,"2,592.80","2,608.30",26.92
6/10/22,15:20:00,"2,595.20","2,610.80",26.91
6/10/22,15:30:00,"2,595.20","2,610.80",26.91
6/10/22,15:40:00,"2,592.20","2,607.70",26.92
6/10/22,15:50:00,"2,589.20","2,603.40",26.92
6/10/22,16:00:00,"2,586.30","2,602.70",26.92
6/10/22,16:10:00,"2,604.70","2,620.70",26.96
6/10/22,16:20:00,"2,599.30","2,614.50",26.91
6/10/22,16:30:00,"2,596.40","2,612.00",26.93
6/10/22,16:40:00,"2,588.60","2,604.60",26.91
6/10/22,16:50:00,"2,588.10","2,605.20",26.89
6/10/22,17:00:00,"2,596.40","2,611.40",26.92
6/10/22,17:10:00,"2,595.80","2,611.40",26.89
6/10/22,17:20:00,"2,598.10","2,614.50",26.88
6/10/22,17:30:00,"2,595.80","2,613.20",26.88
6/10/22,17:40:00,"2,595.80","2,611.40",26.89
6/10/22,17:50:00,"2,595.20","2,613.20",26.87
6/10/22,18:00:00,"2,595.20","2,612.00",26.86
6/10/22,18:10:00,"2,594.60","2,610.80",26.86
6/10/22,18:20:00,"2,592.20","2,608.90",26.86
6/10/22,18:30:00,"2,589.80","2,606.50",26.85
6/10/22,18:40:00,"2,589.80","2,605.20",26.83
6/10/22,18:50:00,"2,589.20","2,605.20",26.82
6/10/22,19:00:00,"2,589.20","2,604.60",26.81
6/10/22,19:10:00,"2,588.60","2,604.00",26.8
6/10/22,19:20:00,"2,588.60","2,604.60",26.78
6/10/22,19:30:00,"2,588.60","2,604.60",26.77
6/10/22,19:40:00,"2,588.60","2,602.70",26.75
6/10/22,19:50:00,"2,586.30","2,602.10",26.73
6/10/22,20:00:00,"2,585.70","2,602.10",26.71
6/10/22,20:10:00,"2,583.90","2,601.50",26.69
6/10/22,20:20:00,"2,583.30","2,597.80",26.66
6/10/22,20:30:00,"2,580.90","2,597.20",26.65
6/10/22,20:40:00,"2,583.30","2,599.00",26.64
6/10/22,20:50:00,"2,582.70","2,597.80",26.62
6/10/22,21:00:00,"2,582.70","2,597.20",26.61
6/10/22,21:10:00,"2,580.30","2,594.70",26.57
6/10/22,21:20:00,"2,577.40","2,592.30",26.56
6/10/22,21:30:00,"2,575.00","2,590.40",26.54
6/10/22,21:40:00,"2,574.40","2,589.80",26.52
6/10/22,21:50:00,"2,575.00","2,588.60",26.49
6/10/22,22:00:00,"2,574.40","2,587.90",26.49
6/10/22,22:10:00,"2,572.00","2,587.30",26.48
6/10/22,22:20:00,"2,572.00","2,586.10",26.45
6/10/22,22:30:00,"2,572.00","2,585.50",26.44
6/10/22,22:40:00,"2,569.10","2,584.20",26.41
6/10/22,22:50:00,"2,569.10","2,583.60",26.4
6/10/22,23:00:00,"2,569.10","2,583.00",26.39
6/10/22,23:10:00,"2,566.70","2,581.20",26.38
6/10/22,23:20:00,"2,563.80","2,579.30",26.35
6/10/22,23:30:00,"2,563.80","2,579.30",26.34
6/10/22,23:40:00,"2,563.80","2,578.70",26.31
6/10/22,23:50:00,"2,563.80","2,578.10",26.3
7/10/22,0:00:00,"2,561.40","2,576.20",26.29
7/10/22,0:10:00,"2,561.40","2,574.40",26.28
7/10/22,0:20:00,"2,561.40","2,574.40",26.27
7/10/22,0:30:00,"2,558.40","2,574.40",26.27
7/10/22,0:40:00,"2,558.40","2,571.90",26.24
7/10/22,0:50:00,"2,558.40","2,571.90",26.24
7/10/22,1:00:00,"2,556.10","2,571.30",26.23
7/10/22,1:10:00,"2,556.10","2,570.10",26.22
7/10/22,1:20:00,"2,556.10","2,570.10",26.2
7/10/22,1:30:00,"2,555.50","2,570.10",26.19
7/10/22,1:40:00,"2,556.10","2,569.40",26.19
7/10/22,1:50:00,"2,555.50","2,568.80",26.17
7/10/22,2:00:00,"2,553.70","2,568.80",26.17
7/10/22,2:10:00,"2,555.50","2,568.80",26.15
7/10/22,2:20:00,"2,555.50","2,567.60",26.14
7/10/22,2:30:00,"2,553.10","2,567.60",26.14
7/10/22,2:40:00,"2,555.50","2,567.00",26.13
7/10/22,2:50:00,"2,552.50","2,567.00",26.12
7/10/22,3:00:00,"2,553.10","2,566.40",26.1
7/10/22,3:10:00,"2,550.70","2,565.10",26.09
7/10/22,3:20:00,"2,550.70","2,564.50",26.08
7/10/22,3:30:00,"2,553.10","2,565.10",26.07
7/10/22,3:40:00,"2,552.50","2,564.50",26.06
7/10/22,3:50:00,"2,547.80","2,562.10",26.04
7/10/22,4:00:00,"2,547.20","2,562.10",26.04
7/10/22,4:10:00,"2,547.80","2,560.80",26.02
7/10/22,4:20:00,"2,533.00","2,546.00",26.02
7/10/22,4:30:00,"2,547.20","2,560.20",26.01
7/10/22,4:40:00,"2,547.20","2,559.60",25.99
7/10/22,4:50:00,"2,544.80","2,559.60",25.98
7/10/22,5:00:00,"2,544.80","2,558.40",25.98
7/10/22,5:10:00,"2,544.80","2,558.40",25.97
7/10/22,5:20:00,"2,542.50","2,555.90",25.96
7/10/22,5:30:00,"2,544.20","2,557.70",25.94
7/10/22,5:40:00,"2,541.90","2,555.90",25.93
7/10/22,5:50:00,"2,541.90","2,555.90",25.93
7/10/22,6:00:00,"2,541.90","2,555.30",25.92
7/10/22,6:10:00,"2,541.90","2,554.70",25.89
7/10/22,6:20:00,"2,539.50","2,553.40",25.89
7/10/22,6:30:00,"2,539.50","2,552.80",25.88
7/10/22,6:40:00,"2,539.50","2,552.20",25.88
7/10/22,6:50:00,"2,539.50","2,551.00",25.88
7/10/22,7:00:00,"2,522.40","2,537.40",25.87
7/10/22,7:10:00,"2,537.10","2,551.00",25.87
7/10/22,7:20:00,"2,537.10","2,551.00",25.87
7/10/22,7:30:00,"2,537.10","2,550.40",25.87
7/10/22,7:40:00,"2,537.10","2,550.40",25.87
7/10/22,7:50:00,"2,536.50","2,551.00",25.88
7/10/22,8:00:00,"2,538.90","2,552.80",25.89
7/10/22,8:10:00,"2,539.50","2,552.80",25.92
7/10/22,8:20:00,"2,538.90","2,553.40",25.94
7/10/22,8:30:00,"2,541.30","2,553.40",25.96
7/10/22,8:40:00,"2,541.30","2,554.70",25.98
7/10/22,8:50:00,"2,543.60","2,557.10",26.02
7/10/22,9:00:00,"2,546.60","2,560.80",26.08
7/10/22,9:10:00,"2,548.40","2,561.40",26.1
7/10/22,9:20:00,"2,548.40","2,563.30",26.12
7/10/22,9:30:00,"2,550.70","2,564.50",26.15
7/10/22,9:40:00,"2,550.70","2,564.50",26.14
7/10/22,9:50:00,"2,550.70","2,564.50",26.14
7/10/22,10:00:00,"2,550.70","2,566.40",26.17
7/10/22,10:10:00,"2,558.40","2,571.90",26.27
7/10/22,10:20:00,"2,560.80","2,574.40",26.33
7/10/22,10:30:00,"2,563.20","2,578.70",26.4
7/10/22,10:40:00,"2,567.90","2,581.80",26.48
7/10/22,10:50:00,"2,570.30","2,584.20",26.5
7/10/22,11:00:00,"2,572.60","2,587.90",26.56
7/10/22,11:10:00,"2,575.00","2,589.80",26.59
7/10/22,11:20:00,"2,577.40","2,592.90",26.64
7/10/22,11:30:00,"2,580.30","2,595.30",26.69
7/10/22,11:40:00,"2,582.70","2,596.60",26.64
7/10/22,11:50:00,"2,589.80","2,604.00",26.7
7/10/22,12:00:00,"2,586.90","2,602.10",26.69
7/10/22,12:10:00,"2,589.80","2,605.80",26.72
7/10/22,12:20:00,"2,595.20","2,610.20",26.76
7/10/22,12:30:00,"2,597.60","2,610.80",26.83
7/10/22,12:40:00,"2,602.30","2,617.60",26.91
7/10/22,12:50:00,"2,610.00","2,626.20",26.92
7/10/22,13:00:00,"2,602.30","2,618.80",26.75
7/10/22,13:10:00,"2,604.70","2,620.70",26.88
7/10/22,13:20:00,"2,611.80","2,627.40",26.94
7/10/22,13:30:00,"2,601.70","2,617.60",26.93
7/10/22,13:40:00,"2,610.00","2,626.20",27.1
7/10/22,13:50:00,"2,627.30","2,641.70",27.22
7/10/22,14:00:00,"2,629.60","2,645.40",27.27
7/10/22,14:10:00,"2,635.00","2,650.30",27.31
7/10/22,14:20:00,"2,608.80","2,623.70",27.1
7/10/22,14:30:00,"2,594.00","2,609.50",26.94
7/10/22,14:40:00,"2,593.40","2,607.70",26.96
7/10/22,14:50:00,"2,598.70","2,614.50",26.98
7/10/22,15:00:00,"2,596.40","2,611.40",26.99
7/10/22,15:10:00,"2,596.40","2,612.00",26.99
7/10/22,15:20:00,"2,598.70","2,613.90",27.03
7/10/22,15:30:00,"2,598.70","2,614.50",27.02
7/10/22,15:40:00,"2,595.80","2,611.40",27.02
7/10/22,15:50:00,"2,598.70","2,613.90",27.04
7/10/22,16:00:00,"2,598.70","2,612.60",27.04
7/10/22,16:10:00,"2,596.40","2,611.40",27.03
7/10/22,16:20:00,"2,595.80","2,610.20",27.07
7/10/22,16:30:00,"2,595.80","2,612.00",27.09
7/10/22,16:40:00,"2,598.70","2,612.60",27.07
7/10/22,16:50:00,"2,600.50","2,613.90",27.08
7/10/22,17:00:00,"2,598.70","2,614.50",27.07
7/10/22,17:10:00,"2,601.10","2,615.70",27.07
7/10/22,17:20:00,"2,600.50","2,614.50",27.07
7/10/22,17:30:00,"2,600.50","2,616.30",27.06
7/10/22,17:40:00,"2,605.30","2,621.30",27.07
7/10/22,17:50:00,"2,605.30","2,620.70",27.01
7/10/22,18:00:00,"2,608.20","2,622.50",27.03
7/10/22,18:10:00,"2,608.20","2,624.40",27.02
7/10/22,18:20:00,"2,607.60","2,625.60",27.02
7/10/22,18:30:00,"2,610.00","2,625.00",26.99
7/10/22,18:40:00,"2,605.30","2,622.50",26.98
7/10/22,18:50:00,"2,602.90","2,617.60",26.97
7/10/22,19:00:00,"2,602.30","2,618.20",26.96
7/10/22,19:10:00,"2,599.90","2,617.60",26.96
7/10/22,19:20:00,"2,599.90","2,615.70",26.93
7/10/22,19:30:00,"2,597.00","2,613.90",26.91
7/10/22,19:40:00,"2,597.00","2,611.40",26.89
7/10/22,19:50:00,"2,597.00","2,612.00",26.88
7/10/22,20:00:00,"2,543.00","2,559.00",26.87
7/10/22,20:10:00,"2,594.60","2,610.80",26.85
7/10/22,20:20:00,"2,594.60","2,609.50",26.82
7/10/22,20:30:00,"2,597.00","2,610.80",26.81
7/10/22,20:40:00,"2,594.60","2,609.50",26.81
7/10/22,20:50:00,"2,594.60","2,608.90",26.78
7/10/22,21:00:00,"2,591.60","2,609.50",26.77
7/10/22,21:10:00,"2,594.60","2,607.70",26.75
7/10/22,21:20:00,"2,591.60","2,607.10",26.73
7/10/22,21:30:00,"2,591.60","2,607.10",26.72
7/10/22,21:40:00,"2,589.20","2,606.50",26.7
7/10/22,21:50:00,"2,591.60","2,605.20",26.69
7/10/22,22:00:00,"2,591.60","2,606.50",26.67
7/10/22,22:10:00,"2,589.20","2,604.60",26.66
7/10/22,22:20:00,"2,589.20","2,604.60",26.65
7/10/22,22:30:00,"2,589.20","2,604.00",26.62
7/10/22,22:40:00,"2,586.30","2,600.90",26.6
7/10/22,22:50:00,"2,586.30","2,600.30",26.59
7/10/22,23:00:00,"2,581.50","2,597.80",26.57
7/10/22,23:10:00,"2,583.90","2,597.20",26.55
7/10/22,23:20:00,"2,580.90","2,595.30",26.54
7/10/22,23:30:00,"2,580.90","2,595.30",26.52
7/10/22,23:40:00,"2,164.40","2,216.30",26.51
7/10/22,23:50:00,"2,576.20","2,591.60",26.49
8/10/22,0:00:00,"2,576.20","2,591.00",26.49
8/10/22,0:10:00,"2,578.60","2,591.00",26.48
8/10/22,0:20:00,"2,576.20","2,589.20",26.46
8/10/22,0:30:00,"2,573.80","2,588.60",26.44
8/10/22,0:40:00,"2,576.20","2,588.60",26.44
8/10/22,0:50:00,"2,573.80","2,588.60",26.41
8/10/22,1:00:00,"2,573.20","2,586.70",26.4
8/10/22,1:10:00,"2,573.80","2,586.70",26.39
8/10/22,1:20:00,"2,570.90","2,585.50",26.36
8/10/22,1:30:00,"2,570.90","2,585.50",26.35
8/10/22,1:40:00,"2,570.90","2,584.20",26.35
8/10/22,1:50:00,"2,568.50","2,584.20",26.33
8/10/22,2:00:00,"2,568.50","2,583.00",26.31
8/10/22,2:10:00,"2,568.50","2,583.00",26.29
8/10/22,2:20:00,"2,568.50","2,583.00",26.28
