Date,Time,Temp,mV,pH
06-10-22,10:00:00,26.72,-24.19,7.41
06-10-22,10:10:00,26.48,-22.28,7.37
06-10-22,10:20:00,26.33,-21.28,7.36
06-10-22,10:30:00,26.3,-20.69,7.35
06-10-22,10:40:00,26.33,-20.34,7.34
06-10-22,10:50:00,26.35,-21.19,7.36
06-10-22,11:00:00,26.4,-20.75,7.35
06-10-22,11:10:00,26.38,-20.86,7.35
06-10-22,11:20:00,26.45,-20.58,7.35
06-10-22,11:30:00,26.4,-20.5,7.34
06-10-22,11:40:00,26.45,-20.91,7.35
06-10-22,11:50:00,26.48,-20.55,7.35
06-10-22,12:00:00,26.48,-20.83,7.35
06-10-22,12:10:00,26.5,-20.8,7.35
06-10-22,12:20:00,26.5,-21.95,7.37
06-10-22,12:30:00,26.5,-21.81,7.37
06-10-22,12:40:00,26.55,-21.74,7.37
06-10-22,12:50:00,26.6,-21.14,7.36
06-10-22,13:00:00,26.62,-21.45,7.36
06-10-22,13:10:00,26.62,-21.74,7.37
06-10-22,13:20:00,26.77,-23.14,7.39
06-10-22,13:30:00,26.74,-23.47,7.39
06-10-22,13:40:00,26.7,-23.22,7.39
06-10-22,13:50:00,26.67,-23.81,7.4
06-10-22,14:00:00,26.84,-23.97,7.4
06-10-22,14:10:00,26.89,-24.97,7.42
06-10-22,14:20:00,26.96,-25.28,7.42
06-10-22,14:30:00,26.62,-24.91,7.42
06-10-22,14:40:00,26.57,-25.17,7.42
06-10-22,14:50:00,26.57,-25.44,7.43
06-10-22,15:00:00,26.57,-25.34,7.43
06-10-22,15:10:00,26.57,-25.99,7.44
06-10-22,15:20:00,26.57,-25.99,7.44
06-10-22,15:30:00,26.57,-25.88,7.44
06-10-22,15:40:00,26.6,-26,7.44
06-10-22,15:50:00,26.57,-27.64,7.46
06-10-22,16:00:00,26.57,-28.09,7.47
06-10-22,16:10:00,26.57,-29.47,7.5
06-10-22,16:20:00,26.57,-29.75,7.5
06-10-22,16:30:00,26.62,-29.06,7.49
06-10-22,16:40:00,26.6,-29.47,7.5
06-10-22,16:50:00,26.6,-29.7,7.5
06-10-22,17:00:00,26.6,-29.27,7.49
06-10-22,17:10:00,26.6,-28.84,7.48
06-10-22,17:20:00,26.6,-29.03,7.49
06-10-22,17:30:00,26.57,-28.39,7.48
06-10-22,17:40:00,26.6,-28.58,7.48
06-10-22,17:50:00,26.6,-29.14,7.49
06-10-22,18:00:00,26.57,-29,7.49
06-10-22,18:10:00,26.57,-27.89,7.47
06-10-22,18:20:00,26.57,-28.77,7.48
06-10-22,18:30:00,26.55,-28.42,7.48
06-10-22,18:40:00,26.55,-27.8,7.47
